,0,3,4,5,6,7,8
0,10,21,24,8,20,13.6,45.18
1,9,4,30,10,27,6.71,31.62
2,10,12,49,24,41,14.42,60.01
3,6,1,3,0,6,3.16,18.36
4,1,6,0,6,13,13.0,30.59
5,4,2,16,12,18,10.2,22.2
6,10,12,42,19,36,9.22,50.7
7,1,0,0,0,19,19.0,49.74
8,7,0,21,17,12,19.24,48.47
9,6,0,10,7,14,8.06,16.12
10,2,0,12,0,24,12.0,40.25
11,2,7,25,15,30,9.43,33.54
12,7,24,12,24,37,25.0,44.1
13,9,10,12,0,6,11.66,46.1
14,4,0,22,1,43,21.02,53.01
15,5,0,40,8,39,8.06,45.65
16,2,34,0,24,6,11.66,50.99
17,10,1,34,1,56,22.0,61.74
18,1,10,7,12,28,21.1,30.46
19,4,0,18,1,24,6.08,29.68
20,6,0,5,0,10,5.0,24.84
21,9,8,23,0,17,10.0,50.92
22,5,0,26,11,28,11.18,34.41
23,9,0,0,0,22,22.0,46.49
24,7,0,11,1,32,21.02,40.0
25,7,0,0,0,10,10.0,29.0
26,3,10,6,0,0,11.66,32.56
27,9,10,24,0,15,13.45,40.26
28,2,27,0,13,8,16.12,41.87
29,7,25,0,26,13,13.04,38.21
30,1,0,22,2,29,7.28,42.06
31,6,35,0,33,8,8.25,62.2
32,9,0,21,1,29,8.06,30.68
33,7,0,0,0,20,20.0,41.68
34,2,18,0,9,6,10.82,40.25
35,1,0,0,0,21,21.0,53.31
36,10,2,32,2,42,10.0,45.31
37,10,0,17,10,0,19.72,43.68
38,6,0,8,7,10,7.28,16.28
39,9,32,34,32,21,13.0,56.04
40,10,0,0,0,29,29.0,45.18
41,5,0,0,0,8,8.0,32.8
42,4,2,19,19,19,17.0,26.87
43,5,0,25,0,40,15.0,45.65
44,4,0,0,0,16,16.0,46.4
45,9,0,33,1,45,12.04,50.09
46,7,8,14,8,37,23.0,37.85
47,10,1,60,47,44,48.7,76.22
48,4,0,21,2,29,8.25,35.23
49,4,0,0,7,0,7.0,41.87
50,6,48,9,42,9,6.0,69.31
51,1,0,21,8,46,26.25,47.07
52,10,13,55,19,49,8.49,62.94
53,3,1,36,25,30,24.74,50.21
54,1,0,0,0,13,13.0,33.96
55,1,13,0,14,26,26.02,48.38
56,10,0,31,0,43,12.0,44.15
57,9,19,32,0,28,19.42,55.71
58,4,1,32,19,32,18.0,40.0
59,8,0,0,0,9,9.0,30.41
60,5,0,0,0,15,15.0,37.74
61,9,17,36,17,23,13.0,48.1
